OBJECTID,STATEFP10,COUNTYFP10,GEOID10,NAME10,NAMELSAD10,totpop10,WFD,RDC_AAA,MNGWPD,MPO,MSA,F1HR_NA,F8HR_NA,Reg_Comm,Acres,Sq_Miles,Label,GlobalID,last_edite,ACSDT5Y2021.B19058-Data_NAME,ACSDT5Y2021.B19058-Data_B19058_001E,ACSDT5Y2021.B19058-Data_B19058_002E,ACSDT5Y2021.B19058-Data_B19058_002M,ACSDT5Y2021.B19058-Data_B19058_003E,ACSDT5Y2021.B19058-Data_B19058_003M
"34","13","025","13025",Brantley,Brantley County,"18411",N,N,N,N,N,N,N,Southern Georgia,286458.000000000000000,447.591003419999993,BRANTLEY,{B067B5E4-BDF5-4B2C-9751-501DEA4C3A2F},,"Brantley County, Georgia","6625","1284","341","5341","371"
"35","13","051","13051",Chatham,Chatham County,"265128",N,N,N,N,N,N,N,Coastal Regional Commission,405410.000000000000000,633.453002930000025,CHATHAM,{112314AE-92CD-4EAB-A236-C661FDCE4F27},,"Chatham County, Georgia","115403","14067","870","101336","1208"
"36","13","225","13225",Peach,Peach County,"27695",N,N,N,N,N,N,N,Middle Georgia,96815.203125000000000,151.274002080000002,PEACH,{2045C7C2-70D3-454C-AC60-1BDED3BF882A},,"Peach County, Georgia","10209","1848","324","8361","418"
"37","13","101","13101",Echols,Echols County,"4034",N,N,N,N,N,N,N,Southern Georgia,269306.000000000000000,420.790008539999974,ECHOLS,{98261A81-3DA9-481E-B18E-D511B4A7824E},,"Echols County, Georgia","1327","118","61","1209","158"
"38","13","109","13109",Evans,Evans County,"11000",N,N,N,N,N,N,N,Heart of Georgia Altamaha,119709.000000000000000,187.044998170000014,EVANS,{785FAC0C-F74C-4E4D-8CB3-B8CB8F85851D},,"Evans County, Georgia","3886","1014","162","2872","203"
"39","13","239","13239",Quitman,Quitman County,"2513",N,N,N,N,N,N,N,River Valley,102757.000000000000000,160.557998660000010,QUITMAN,{752BEFA6-7539-4065-8BBA-6CB502AB5B58},,"Quitman County, Georgia","946","265","97","681","143"
"40","13","155","13155",Irwin,Irwin County,"9538",N,N,N,N,N,N,N,Southern Georgia,232163.000000000000000,362.753997799999979,IRWIN,{D40870BC-FC2D-4302-AB06-FBDF877A7BA4},,"Irwin County, Georgia","3604","442","135","3162","245"
"41","13","033","13033",Burke,Burke County,"23316",N,N,N,N,N,N,N,Central Savannah River Area,534823.000000000000000,835.661010740000052,BURKE,{56423785-DD7F-429D-B00E-356D32A5FEFF},,"Burke County, Georgia","8742","1307","244","7435","522"
"42","13","151","13151",Henry,Henry County,"203922",Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,208948.000000000000000,326.480987550000009,HENRY,{35264E7E-E781-4C21-B4CC-C812B3B58FDE},,"Henry County, Georgia","80672","7621","976","73051","1151"
"43","13","179","13179",Liberty,Liberty County,"63453",N,N,N,N,N,N,N,Coastal Regional Commission,386168.999999999941792,603.388977049999994,LIBERTY,{CB7E330B-433F-46AB-9326-7292530CC621},,"Liberty County, Georgia","22554","3827","450","18727","664"
"44","13","195","13195",Madison,Madison County,"28120",N,N,N,N,N,N,N,Northeast Georgia,182774.000000000000000,285.584991460000026,MADISON,{FB984A70-A6A1-4095-8F0F-604A4143F984},,"Madison County, Georgia","10510","1583","339","8927","374"
"45","13","279","13279",Toombs,Toombs County,"27223",N,N,N,N,N,N,N,Heart of Georgia Altamaha,237563.000000000000000,371.191986079999992,TOOMBS,{F37CE267-116E-4ECC-8FFC-82697ED17E8D},,"Toombs County, Georgia","9779","2279","316","7500","445"
"46","13","207","13207",Monroe,Monroe County,"26424",N,N,N,N,N,N,N,Middle Georgia,254551.000000000000000,397.735992430000010,MONROE,{6675314D-9931-4C36-8957-FA8A905F2F0E},,"Monroe County, Georgia","10176","852","245","9324","331"
"47","13","065","13065",Clinch,Clinch County,"6798",N,N,N,N,N,N,N,Southern Georgia,527504.000000000000000,824.224975589999985,CLINCH,{D7037AD7-9079-4D7B-8A90-535F548AD7C7},,"Clinch County, Georgia","2361","435","193","1926","221"
"48","13","219","13219",Oconee,Oconee County,"32808",N,N,N,N,N,N,N,Northeast Georgia,119267.000000000000000,186.354995730000013,OCONEE,{97F649C5-231F-42D8-A3F0-25E6535FE925},,"Oconee County, Georgia","13965","520","173","13445","355"
"49","13","019","13019",Berrien,Berrien County,"19286",N,N,N,N,N,N,N,Southern Georgia,293043.000000000000000,457.880004880000001,BERRIEN,{0E14972B-097C-4986-B5EB-B72787E7DF71},,"Berrien County, Georgia","6634","1287","230","5347","290"
"50","13","049","13049",Charlton,Charlton County,"12171",N,N,N,N,N,N,N,Southern Georgia,501087.000000000058208,782.948974610000050,CHARLTON,{4C51DF2F-CF01-4556-BDC2-8F0316390F6C},,"Charlton County, Georgia","3960","915","218","3045","257"
"51","13","075","13075",Cook,Cook County,"17212",N,N,N,N,N,N,N,Southern Georgia,149238.000000000000000,233.184005740000003,COOK,{AB9A8BC5-5668-430F-A0B1-4E6FBE6021D6},,"Cook County, Georgia","6056","942","191","5114","276"
"52","13","229","13229",Pierce,Pierce County,"18758",N,N,N,N,N,N,N,Southern Georgia,219810.000000000000000,343.453002930000025,PIERCE,{21233D79-91A5-4D21-940E-1183FA00724A},,"Pierce County, Georgia","7235","1252","234","5983","331"
"53","13","099","13099",Early,Early County,"11008",N,N,N,N,N,N,N,Southwest Georgia,330435.000000000058208,516.304992680000055,EARLY,{73632B13-4725-4782-B10F-9E56936CC762},,"Early County, Georgia","4034","967","195","3067","221"
"54","13","167","13167",Johnson,Johnson County,"9980",N,N,N,N,N,N,N,Heart of Georgia Altamaha,196277.000000000000000,306.682006839999985,JOHNSON,{310C9260-45FD-45B1-B65D-2581497BE8F8},,"Johnson County, Georgia","3201","744","149","2457","278"
"55","13","269","13269",Taylor,Taylor County,"8906",N,N,N,N,N,N,N,River Valley,242959.000000000000000,379.622985840000013,TAYLOR,{A190BC27-F52A-4478-BC60-09CA0019FCA0},,"Taylor County, Georgia","3096","1045","202","2051","209"
"56","13","093","13093",Dooly,Dooly County,"14918",N,N,N,N,N,N,N,River Valley,254218.000000000000000,397.216003419999993,DOOLY,{1959E5F7-6836-4ACE-AACF-27F1A298C95E},,"Dooly County, Georgia","3888","972","189","2916","273"
"57","13","085","13085",Dawson,Dawson County,"22330",N,N,N,Partial,Y,N,N,Georgia Mountains,137194.000000000000000,214.365005489999987,DAWSON,{7561741B-1026-4F5F-9DA1-43FF485FD57A},2015/10/14,"Dawson County, Georgia","9776","962","303","8814","426"
"58","13","177","13177",Lee,Lee County,"28298",N,N,N,N,N,N,N,Southwest Georgia,231462.000000000000000,361.660003659999973,LEE,{D408FBF3-943B-49FD-B1ED-F763009654EE},,"Lee County, Georgia","11616","1002","238","10614","301"
